2026-07-22 22:00:26,668 | INFO    | 01_preprocess_audio:56 | ==============================================================================
2026-07-22 22:00:26,669 | INFO    | 01_preprocess_audio:57 |       PHASE 01_preprocess_audio: Preprocess, split and segment the audio      
2026-07-22 22:00:26,669 | INFO    | 01_preprocess_audio:58 | ==============================================================================
2026-07-22 22:00:26,669 | INFO    | 01_preprocess_audio:78 | Experiment : baseline_full
2026-07-22 22:00:26,669 | INFO    | 01_preprocess_audio:79 | Config     : /workspace/apr-heart-sounds/configs/config.yaml  (hash bfdef2da)
2026-07-22 22:00:28,199 | INFO    | 01_preprocess_audio:82 | Seed       : 42 (torch=True, cuda=True)
2026-07-22 22:00:28,200 | INFO    | 01_preprocess_audio:86 | Shapes     : {'segment_samples': 6000, 'n_frames': 188, 'mfcc_dim': 234, 'logmel_shape': [32, 188], 'pwp_n_bands': 12, 'pwp_dim': 84, 'fft_bin_width_hz': 7.8125, 'usable_fft_bins_in_band': 49, 'wp_subband_width_hz': 15.625}
2026-07-22 22:00:28,226 | INFO    | 01_preprocess_audio:51 | Loaded census: 3240 recordings
2026-07-22 22:00:28,226 | INFO    | 01_preprocess_audio:54 | Building subject-independent stratified splits ...
2026-07-22 22:00:28,398 | INFO    | 01_preprocess_audio:72 | Splits: train=2269, val=487, test=484 recordings
2026-07-22 22:00:28,813 | INFO    | 01_preprocess_audio:109 | Processing train: 2269 recordings (hop 1.5 s) ...
2026-07-22 22:00:41,746 | INFO    | 01_preprocess_audio:161 |   200/2269 recordings
2026-07-22 22:00:48,332 | INFO    | 01_preprocess_audio:161 |   400/2269 recordings
2026-07-22 22:00:55,147 | INFO    | 01_preprocess_audio:161 |   600/2269 recordings
2026-07-22 22:01:02,249 | INFO    | 01_preprocess_audio:161 |   800/2269 recordings
2026-07-22 22:01:11,819 | INFO    | 01_preprocess_audio:161 |   1000/2269 recordings
2026-07-22 22:01:17,927 | INFO    | 01_preprocess_audio:161 |   1200/2269 recordings
2026-07-22 22:01:26,817 | INFO    | 01_preprocess_audio:161 |   1400/2269 recordings
2026-07-22 22:01:34,010 | INFO    | 01_preprocess_audio:161 |   1600/2269 recordings
2026-07-22 22:01:39,722 | INFO    | 01_preprocess_audio:161 |   1800/2269 recordings
2026-07-22 22:01:45,948 | INFO    | 01_preprocess_audio:161 |   2000/2269 recordings
2026-07-22 22:01:56,632 | INFO    | 01_preprocess_audio:161 |   2200/2269 recordings
2026-07-22 22:02:02,259 | INFO    | 01_preprocess_audio:171 |   train: 30695 segments of 6000 samples
2026-07-22 22:02:02,259 | INFO    | 01_preprocess_audio:109 | Processing val: 487 recordings (hop 3.0 s) ...
2026-07-22 22:02:10,033 | INFO    | 01_preprocess_audio:161 |   200/487 recordings
2026-07-22 22:02:18,744 | INFO    | 01_preprocess_audio:161 |   400/487 recordings
2026-07-22 22:02:22,242 | INFO    | 01_preprocess_audio:171 |   val: 3329 segments of 6000 samples
2026-07-22 22:02:22,242 | INFO    | 01_preprocess_audio:109 | Processing test: 484 recordings (hop 3.0 s) ...
2026-07-22 22:02:28,328 | INFO    | 01_preprocess_audio:161 |   200/484 recordings
2026-07-22 22:02:36,477 | INFO    | 01_preprocess_audio:161 |   400/484 recordings
2026-07-22 22:02:43,322 | INFO    | 01_preprocess_audio:171 |   test: 3362 segments of 6000 samples
2026-07-22 22:02:43,479 | INFO    | 01_preprocess_audio:182 | Segments total: 37386  (excluded 0 recordings)
2026-07-22 22:02:44,985 | INFO    | 01_preprocess_audio:222 | Summary written to /workspace/apr-heart-sounds/reports/phase_01_preprocess_audio/summary.md
